Date,Mortgage,HE Revolving,Auto Loan,Credit Card,Student Loan,Other,Total,quarter,GDP_trillions,Mortgage_pct_gdp,HE Revolving_pct_gdp,Auto Loan_pct_gdp,Credit Card_pct_gdp,Student Loan_pct_gdp,Other_pct_gdp,Total_pct_gdp,date
07:Q3,8.925,0.631,0.818,0.817,0.5285004,0.413,12.1325004,2007Q3,14.564117,61.280749117849034,4.33256612810787,5.616543728672325,5.609677538294974,3.6287843609056423,2.8357366258455627,83.3040574996754,2007-07-01
07:Q4,9.101,0.647,0.815,0.839,0.5475,0.4221,12.3716,2007Q4,14.715058,61.84821018034724,4.396856607700765,5.538544258541148,5.701642494375489,3.7206785049708944,2.868490222736465,84.074422268672,2007-10-01
08:Q1,9.234,0.663,0.808,0.837,0.5792,0.4153,12.5365,2008Q1,14.706538,62.78840064194578,4.508199006455496,5.494155048591314,5.691346257018477,3.938384411069417,2.8239140986138276,85.24439946369432,2008-01-01
08:Q2,9.273,0.679,0.81,0.85,0.5863,0.4008,12.5991,2008Q2,14.865701,62.378491266573974,4.567561260649599,5.448784419920729,5.717860193743975,3.9439781548142268,2.6961392537089237,84.75281454941144,2008-04-01
08:Q3,9.294,0.692,0.809,0.858,0.6109,0.4115,12.6754,2008Q3,14.898999,62.38002969192763,4.644607332344944,5.429894988247198,5.758776143283183,4.100275461458854,2.7619305162715966,85.0755141335334,2008-07-01
08:Q4,9.257,0.705,0.791,0.866,0.6393,0.4116,12.6699,2008Q4,14.608209,63.36848001010938,4.826053625054241,5.414763712649512,5.928173672761663,4.376306499995995,2.817593861095498,86.73137138166629,2008-10-01
09:Q1,9.135,0.714,0.766,0.843,0.6628,0.4088,12.5296,2009Q1,14.430902,63.30165640373693,4.947715672935759,5.308053509059932,5.841630689474574,4.5929214958288815,2.832809757837729,86.82478752887381,2009-01-01
09:Q2,9.063,0.713,0.743,0.824,0.6754,0.3888,12.4072,2009Q2,14.381236000000001,63.019618063426535,4.9578492418871365,5.166454399329793,5.729688324424965,4.6963974445590075,2.703522840456828,86.27353031408427,2009-04-01
09:Q3,8.944,0.708,0.739,0.812,0.6945,0.3815,12.279,2009Q3,14.448882,61.90098306567942,4.90003309598625,5.114582567703163,5.6198119688429875,4.806600261528885,2.6403426922581277,84.98235365199884,2009-07-01
09:Q4,8.843,0.7064,0.7219,0.795,0.7213,0.3785,12.1661,2009Q4,14.651249,60.35662898091487,4.821431947542493,4.9272249758365305,5.426158547984544,4.9231297618380525,2.5833974973737734,83.03797171149027,2009-10-01
10:Q1,8.834,0.6951,0.7047,0.7624,0.7578,0.3629,12.1169,2010Q1,14.764610000000001,59.83226106209374,4.707879178657614,4.772899521219998,5.163698871829326,5.132543291018185,2.4579044079051187,82.06718633272398,2010-01-01
10:Q2,8.703,0.6826,0.7022,0.7444,0.7617,0.3491,11.943,2010Q2,14.980193,58.096714775303624,4.55668361549147,4.68752305127177,4.969228367084456,5.084714195604823,2.3304105628011604,79.7252745675573,2010-04-01
10:Q3,8.609,0.6734,0.71,0.7311,0.7782,0.3427,11.8444,2010Q3,15.141607,56.85658067865584,4.447348290046096,4.68906635867646,4.8284174856737465,5.139480901862001,2.263300057913272,78.22419377282742,2010-07-01
10:Q4,8.452,0.6678,0.711,0.7296,0.8118,0.341,11.7132,2010Q4,15.309474,55.20764462580491,4.3620048605197015,4.644183072520976,4.765676469354859,5.302598900523949,2.227378941954505,76.50948687067891,2010-10-01
11:Q1,8.544,0.6405,0.7056,0.6964,0.8392,0.3287,11.7544,2011Q1,15.351448,55.65598763061309,4.1722448592471535,4.596309090842766,4.536379890678717,5.466585301920704,2.141166097165557,76.56867287046799,2011-01-01
11:Q2,8.516,0.6245,0.713,0.6943,0.8514,0.3303,11.7295,2011Q2,15.557539,54.738734706048305,4.014131026764581,4.582987064985021,4.462788105496634,5.472587920235971,2.1230864341718827,75.39431525770239,2011-04-01
11:Q3,8.402,0.6387,0.7304,0.6933,0.8702,0.3266,11.6612,2011Q3,15.647680000000001,53.694860835599904,4.081755250618622,4.6677846172723365,4.4306887666414445,5.561207795660442,2.087210372400253,74.523507638193,2011-07-01
11:Q4,8.268,0.6271,0.7341,0.704,0.8736,0.33,11.5368,2011Q4,15.842259,52.189526758778534,3.958400124628691,4.6338088526390075,4.443810696441712,5.5143650914935805,2.083036263957053,72.82294778793856,2011-10-01
12:Q1,8.187,0.6118,0.7365,0.6788,0.90365613,0.3185,11.43625613,2012Q1,16.068805,50.949650580737014,3.8073770887131926,4.5834148836830115,4.224334043508525,5.62366728577514,1.982101344810644,71.17054522722754,2012-01-01
12:Q2,8.147,0.589,0.75,0.672,0.914,0.312,11.384,2012Q2,16.207114999999998,50.26804585516917,3.634206334686957,4.627597200365396,4.146327091527395,5.639498454845296,1.9250804353520046,70.24075537194622,2012-04-01
12:Q3,8.028,0.573,0.768,0.674,0.956,0.311,11.31,2012Q3,16.319541,49.19256001133856,3.5111281622442685,4.706014709604884,4.1300181175438695,5.858007893726913,1.905690852457186,69.30341974691567,2012-07-01
12:Q4,8.033,0.563,0.783,0.679,0.966,0.317,11.341,2012Q4,16.420419000000003,48.92079794066155,3.4286579410671547,4.768453228873148,4.13509545645577,5.882919309184496,1.9305232101568173,69.06644708639894,2012-10-01
13:Q1,7.932,0.552,0.794,0.66,0.986,0.307,11.231,2013Q1,16.648189,47.644821908256816,3.315675957306828,4.76928751830004,3.9643951663451205,5.9225661121458915,1.8440444182847757,67.46079108063947,2013-01-01
13:Q2,7.841,0.54,0.814,0.668,0.994,0.296,11.153,2013Q2,16.728687,46.87158053707383,3.227987946693007,4.865892941866865,3.993140645168386,5.941888924097869,1.7694156152243148,66.66990661012427,2013-04-01
13:Q3,7.897,0.535,0.845,0.672,1.027,0.304,11.28,2013Q3,16.953838,46.5794234910113,3.1556276519806308,4.98412217929651,3.963704265665391,6.0576254179142195,1.7931043106581528,66.5336073165262,2013-07-01
13:Q4,8.049,0.529,0.863,0.683,1.08,0.317,11.521,2013Q4,17.192019000000002,46.81823583373191,3.0770091633798216,5.019771092621523,3.9727736457247986,6.2819846813803535,1.843878837034789,67.0136532538732,2013-10-01
14:Q1,8.165,0.526,0.875,0.659,1.111,0.314,11.65,2014Q1,17.197738,47.477174033003635,3.058541768690743,5.087878417498859,3.8318992881505696,6.460151910675694,1.825821512108162,67.74146693012767,2014-01-01
14:Q2,8.096,0.521,0.905,0.669,1.118,0.323,11.632,2014Q2,17.518508,46.21398123630163,2.973997557326229,5.165965046795081,3.818818360559016,6.381822013609836,1.8437643205688523,66.39834853516064,2014-04-01
14:Q3,8.131,0.512,0.934,0.68,1.126,0.327,11.71,2014Q3,17.804228,45.66892762775225,2.8757214297637623,5.245944951951863,3.8193175239049966,6.324340488113273,1.8366423975249029,65.77089441901104,2014-07-01
14:Q4,8.17,0.51,0.955,0.7,1.157,0.335,11.827,2014Q4,17.912079000000002,45.61167913562685,2.847240680436927,5.331597744739736,3.9079774045212727,6.459328367187304,1.870246329306609,66.0280696618187,2014-10-01
