"Table with row headers in column A and column headers in rows 8 through 10, 92 through 94, 149 through 151, 233 through 235, 317 through 319, 401 through 403, 485 through 487, 569 through 571, and 613 through 615",,,,,,
"Table P-8. Age--All People, by Median Income and Sex: 1947 to 2024",,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>.",,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1948 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,
"(People 15 years old and over beginning with March 1980, and people 14 years old and over as of March of the following year for previous years. Income in current and 2024 C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000) adjusted dollars (28))",,,,,,
15 Years and Over,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2015,20330,37230,47950,18860,28830,37130
2014,19850,36100,46460,18380,26260,33800
2013 (39),19840,34400,44910,18230,25690,33530
2013 (38),19600,34170,44610,17950,26380,34430
2012,19180,34110,45070,17820,26170,34580
2011,18880,32580,43880,17640,25720,34640
2010 (37),18810,31940,44350,17510,25560,35490
2009 (36),19280,31910,44920,17500,25240,35520
2008,19320,33420,46850,17450,25550,35820
2007,19020,32880,47780,17240,25880,37620
2006,19050,32130,47890,17150,24180,36040
2005,18900,31160,47800,17060,22820,35000
2004 (35),18730,30990,48910,17040,22070,34830
2003,18680,30560,49440,17160,21990,35580
2002,18700,30680,50660,17340,21650,35750
2001,18530,30510,51020,17370,21470,35900
2000 (30),18620,30250,51730,17630,21050,35990
1999 (29),18700,29380,51960,17790,19310,34150
1998,18330,28120,50760,17770,18260,32960
1997,18940,26000,47570,18080,17650,32290
1996,19350,25180,47070,18480,16380,30630
1995 (25),19620,23610,45300,18860,15560,29850
1994 (24),19980,22610,44400,19170,14880,29230
1993 (23),20180,21930,44010,19570,13990,28070
1992 (22),20580,21500,44210,19600,13630,28030
1991,20520,21600,45540,19820,12960,27340
1990,20860,21390,46750,20040,12590,27510
1989,21000,21370,48970,20210,12230,28030
1988,20910,20780,49720,20230,11570,27670
1987 (21),20780,19930,49430,20190,10980,27240
1986,20600,19160,49140,19800,10310,26440
1985 (20),20460,18660,48650,19300,9879,25750
1984 (19),19780,18090,48770,19020,9392,25320
1983,19300,16810,47190,18420,8503,23880
1982,18830,16420,48040,17970,7972,23330
1981,18720,16090,49940,17830,7598,23580
1980,18280,15580,52970,17360,6973,23710
1979 (18),17790,14670,55390,16850,6350,23970
1978,16510,13410,55420,14280,5839,24130
1977,16070,12360,54580,12670,5902,26060
1976 (17),15680,11720,55080,11940,5372,25250
1975 (16),15100,11040,54840,11210,5052,25100
1974 (16)(15),14640,10480,56430,10670,4514,24300
1973,14080,10090,59640,9879,4142,24490
1972 (14),13460,9218,57830,9043,3805,23870
