Year,Age Group,Combined Median (2024 $)
1991,25 to 34 Years,36597.907783837385
1991,35 to 44 Years,46958.96397580857
1991,45 to 54 Years,48993.239164086684
1991,55 to 64 Years,36986.4298180005
1991,65 Years and Older,22738.843357567745
1992,25 to 34 Years,36317.31707317073
1992,35 to 44 Years,46291.25064069708
1992,45 to 54 Years,49564.50631031923
1992,55 to 64 Years,36462.61315816484
1992,65 Years and Older,22290.04651162791
1993,25 to 34 Years,36162.306918238995
1993,35 to 44 Years,46447.79151943463
1993,45 to 54 Years,49704.11534353862
1993,55 to 64 Years,35815.884448969206
1993,65 Years and Older,22469.715514389678
1994,25 to 34 Years,36971.93103448276
1994,35 to 44 Years,46141.500493583415
1994,45 to 54 Years,51073.90742001362
1994,55 to 64 Years,36956.1533764185
1994,65 Years and Older,22752.982398956974
1995,25 to 34 Years,37727.572765072764
1995,35 to 44 Years,46931.12781954887
1995,45 to 54 Years,51014.55755156354
1995,55 to 64 Years,39557.20324057767
1995,65 Years and Older,23711.62162162162
1996,25 to 34 Years,39039.04044409199
1996,35 to 44 Years,47470.602582496416
1996,45 to 54 Years,51695.658396946565
1996,55 to 64 Years,39849.36787872783
1996,65 Years and Older,23561.923076923078
1997,25 to 34 Years,40107.48244192328
1997,35 to 44 Years,47374.059616749466
1997,45 to 54 Years,53200.536540240515
1997,55 to 64 Years,41481.94086790653
1997,65 Years and Older,24391.02229299363
1998,25 to 34 Years,41998.060941828255
1998,35 to 44 Years,50245.27875793931
1998,45 to 54 Years,54573.6158861885
1998,55 to 64 Years,42611.12702078522
1998,65 Years and Older,24855.866203849793
1999,25 to 34 Years,43277.07591120855
1999,35 to 44 Years,50561.70162620787
1999,45 to 54 Years,55986.29795575469
1999,55 to 64 Years,43420.454746136864
1999,65 Years and Older,25610.397067806964
2000,25 to 34 Years,44074.9324137931
2000,35 to 44 Years,51477.305785123965
2000,45 to 54 Years,55415.116594360086
2000,55 to 64 Years,43465.29386343993
2000,65 Years and Older,24915.916007303713
2001,25 to 34 Years,43704.278551532036
2001,35 to 44 Years,51005.00239120038
2001,45 to 54 Years,54567.70811099253
2001,55 to 64 Years,44450.418719211826
2001,65 Years and Older,24850.112427833486
2002,25 to 34 Years,43486.32075471698
2002,35 to 44 Years,49876.8917289607
2002,45 to 54 Years,54568.85444035733
2002,55 to 64 Years,45680.957943925234
2002,65 Years and Older,24517.173717371737
2003,25 to 34 Years,42803.90625
2003,35 to 44 Years,50930.117675900954
2003,45 to 54 Years,55005.645661157025
