year,age_group,house_price_2024d,tuition_2024d,auto_2024d,health_2024d,wage_annual_2024d,mortgage_rate,auto_rate,student_rate,pay_house,pay_degree,pay_car,pay_health,pay_total,share_house,hours_house,share_degree,hours_degree,share_car,hours_car,share_health,hours_health,share_total,hours_total
1989,55 to 64 Years,304726.89772116166,7212.223682340692,32225.430822462644,1720.562042877562,38054.00933558447,0.10319423076923076,0.120675,0.08,28583.226876146724,4299.336030992686,6502.377179688335,1720.562042877562,41105.5021297053,0.7511226116565443,1502.2452233130884,0.1129798438077419,225.9596876154838,0.1708723283884816,341.7446567769632,0.04521368636099683,90.42737272199366,1.0801884702137645,2160.376940427529
1989,65 Years and Older,304726.89772116166,7212.223682340692,32225.430822462644,1720.562042877562,22766.80763983629,0.10319423076923076,0.120675,0.08,28583.226876146724,4299.336030992686,6502.377179688335,1720.562042877562,41105.5021297053,1.2554780331227966,2510.9560662455933,0.188842287377608,377.684574755216,0.28560777086335026,571.2155417267005,0.07557326745568857,151.14653491137713,1.8055013588194433,3611.0027176388867
1990,25 to 34 Years,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944,37322.87041564792,0.10129423076923078,0.11782500000000001,0.08,27144.648867513577,4643.353390780124,6558.96442266468,1876.8632401841944,40223.82992114258,0.7272926376030542,1454.5852752061085,0.1244104041052898,248.82080821057963,0.1757357981746972,351.4715963493944,0.0502872158352886,100.5744316705772,1.07772605571833,2155.45211143666
1990,35 to 44 Years,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944,48478.91181988743,0.10129423076923078,0.11782500000000001,0.08,27144.648867513577,4643.353390780124,6558.96442266468,1876.8632401841944,40223.82992114258,0.5599269424273271,1119.853884854654,0.0957808914529985,191.561782905997,0.13529520726523417,270.59041453046837,0.0387150447426968,77.4300894853936,0.8297180858882567,1659.4361717765134
1990,45 to 54 Years,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944,49377.60718660678,0.10129423076923078,0.11782500000000001,0.08,27144.648867513577,4643.353390780124,6558.96442266468,1876.8632401841944,40223.82992114258,0.5497360122156003,1099.4720244312007,0.09403763477707747,188.07526955415494,0.13283277170311603,265.6655434062321,0.038010412960903385,76.02082592180678,0.8146168316566972,1629.2336633133943
1990,55 to 64 Years,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944,37063.54753001378,0.10129423076923078,0.11782500000000001,0.08,27144.648867513577,4643.353390780124,6558.96442266468,1876.8632401841944,40223.82992114258,0.7323812931164252,1464.7625862328505,0.12528086759692855,250.56173519385712,0.1769653705531906,353.93074110638116,0.050639060890335034,101.27812178067006,1.0852665921568794,2170.5331843137587
1990,65 Years and Older,293621.8711652529,7789.319804046352,32831.67188066548,1876.8632401841944,23197.9892400807,0.10129423076923078,0.11782500000000001,0.08,27144.648867513577,4643.353390780124,6558.96442266468,1876.8632401841944,40223.82992114258,1.170129384343966,2340.258768687932,0.20016189087446834,400.32378174893665,0.28273848887438585,565.4769777487717,0.0809062897977991,161.81257959559818,1.7339360538906192,3467.8721077812384
1991,25 to 34 Years,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435,36597.907783837385,0.09246538461538462,0.11137499999999999,0.08,23832.349625899784,5056.9670922403075,6653.249763511767,2040.657672518435,37583.2241541703,0.6511943187207218,1302.3886374414435,0.13817639855559175,276.35279711118346,0.18179317251709182,363.58634503418364,0.0557588615330531,111.5177230661062,1.0269227513264585,2053.845502652917
1991,35 to 44 Years,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435,46958.96397580857,0.09246538461538462,0.11137499999999999,0.08,23832.349625899784,5056.9670922403075,6653.249763511767,2040.657672518435,37583.2241541703,0.5075143829445914,1015.0287658891828,0.10768906858433802,215.37813716867603,0.14168220932087136,283.3644186417427,0.043456190250911464,86.91238050182292,0.8003418511007123,1600.6837022014247
1991,45 to 54 Years,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435,48993.239164086684,0.09246538461538462,0.11137499999999999,0.08,23832.349625899784,5056.9670922403075,6653.249763511767,2040.657672518435,37583.2241541703,0.486441599545627,972.883199091254,0.10321765162951699,206.435303259034,0.13579934450198125,271.5986890039625,0.041651821911262606,83.30364382252522,0.7671104175883879,1534.2208351767758
1991,55 to 64 Years,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435,36986.4298180005,0.09246538461538462,0.11137499999999999,0.08,23832.349625899784,5056.9670922403075,6653.249763511767,2040.657672518435,37583.2241541703,0.6443538817661469,1288.707763532294,0.1367249317418355,273.449863483671,0.1798835355629208,359.7670711258416,0.0551731454633475,110.346290926695,1.016135494534251,2032.2709890685019
1991,65 Years and Older,276337.15557119256,8483.165205175177,34071.19820784602,2040.657672518435,22738.843357567745,0.09246538461538462,0.11137499999999999,0.08,23832.349625899784,5056.9670922403075,6653.249763511767,2040.657672518435,37583.2241541703,1.0480897929211561,2096.179585842312,0.22239332989456087,444.78665978912176,0.2925940277123854,585.1880554247708,0.0897432486089615,179.48649721792302,1.652820399137064,3305.640798274128
1992,25 to 34 Years,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277,36317.31707317073,0.08390188679245282,0.0929,0.08,21805.33896800609,5509.343313113162,6381.581281141935,2191.002708649277,35887.26627091046,0.6004116142190111,1200.8232284380222,0.15170017383203582,303.40034766407166,0.1757173105129041,351.4346210258082,0.060329420927072594,120.6588418541452,0.9881585194910236,1976.3170389820473
1992,35 to 44 Years,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277,46291.25064069708,0.08390188679245282,0.0929,0.08,21805.33896800609,5509.343313113162,6381.581281141935,2191.002708649277,35887.26627091046,0.4710466592759511,942.0933185519021,0.11901478652792345,238.0295730558469,0.13785718019749396,275.7143603949879,0.04733081691085379,94.66163382170758,0.7752494429122223,1550.4988858244446
1992,45 to 54 Years,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277,49564.50631031923,0.08390188679245282,0.0929,0.08,21805.33896800609,5509.343313113162,6381.581281141935,2191.002708649277,35887.26627091046,0.4399385889467896,879.8771778935792,0.11115501239172292,222.31002478344584,0.12875304842516513,257.50609685033027,0.0442050747954916,88.4101495909832,0.7240517245591692,1448.1034491183384
1992,55 to 64 Years,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277,36462.61315816484,0.08390188679245282,0.0929,0.08,21805.33896800609,5509.343313113162,6381.581281141935,2191.002708649277,35887.26627091046,0.598019096256774,1196.038192513548,0.15109567954482964,302.1913590896593,0.17501711282897858,350.03422565795717,0.06008902047544719,120.17804095089437,0.9842209091060293,1968.4418182120587
1992,65 Years and Older,271343.26270934794,9242.035521425769,34943.37400533487,2191.002708649277,22290.04651162791,0.08390188679245282,0.0929,0.08,21805.33896800609,5509.343313113162,6381.581281141935,2191.002708649277,35887.26627091046,0.9782545297351011,1956.5090594702021,0.24716607523627812,494.33215047255624,0.2862973515022903,572.5947030045807,0.09829511605129716,196.5902321025943,1.6100130725249666,3220.0261450499333
1993,25 to 34 Years,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536,36162.306918239,0.07314615384615385,0.080875,0.08,20103.42864954612,5954.231320008569,6267.703617196345,2321.7500531694536,34647.11363992049,0.5559221842511008,1111.8443685022016,0.16465297231923728,329.30594463847456,0.17332145405898133,346.6429081179627,0.06420359349360104,128.40718698720207,0.9581002041229206,1916.2004082458413
1993,35 to 44 Years,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536,46447.79151943463,0.07314615384615385,0.080875,0.08,20103.42864954612,5954.231320008569,6267.703617196345,2321.7500531694536,34647.11363992049,0.4328177506810947,865.6355013621894,0.12819191451798537,256.38382903597073,0.13494083167708457,269.8816633541691,0.04998623136253937,99.97246272507874,0.745936728238704,1491.8734564774081
1993,45 to 54 Years,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536,49704.11534353862,0.07314615384615385,0.080875,0.08,20103.42864954612,5954.231320008569,6267.703617196345,2321.7500531694536,34647.11363992049,0.4044620553167033,808.9241106334066,0.11979352773618171,239.58705547236343,0.1261002951943923,252.2005903887846,0.04671142494182373,93.42284988364746,0.6970673031891012,1394.1346063782023
1993,55 to 64 Years,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536,35815.884448969206,0.07314615384615385,0.080875,0.08,20103.42864954612,5954.231320008569,6267.703617196345,2321.7500531694536,34647.11363992049,0.5612992380012188,1122.5984760024376,0.16624554751655543,332.49109503311087,0.17499787353085264,349.9957470617053,0.06482459078952815,129.64918157905632,0.9673672498381553,1934.7344996763104
1993,65 Years and Older,274692.6155177386,9988.34420634602,35898.9361193795,2321.7500531694536,22469.71551438968,0.07314615384615385,0.080875,0.08,20103.42864954612,5954.231320008569,6267.703617196345,2321.7500531694536,34647.11363992049,0.894689949976083,1789.379899952166,0.2649891724795296,529.9783449590592,0.2789400521418478,557.8801042836956,0.10332796833509517,206.65593667019033,1.5419471429325557,3083.8942858651117
1994,25 to 34 Years,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875,36971.93103448276,0.0838076923076923,0.08115,0.08,22163.41637841695,6338.77313190925,6503.082853638363,2432.7075718474875,37437.97993581205,0.5994660207968501,1198.9320415937002,0.17144825694923105,342.8965138984621,0.17589243168210789,351.78486336421577,0.06579876960114862,131.59753920229724,1.0126054790293377,2025.2109580586755
1994,35 to 44 Years,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875,46141.500493583415,0.0838076923076923,0.08115,0.08,22163.41637841695,6338.77313190925,6503.082853638363,2432.7075718474875,37437.97993581205,0.4803358395659254,960.6716791318509,0.1373768313579386,274.7536627158772,0.14093782785721723,281.87565571443446,0.05272276683298992,105.44553366597984,0.8113732656140712,1622.7465312281424
1994,45 to 54 Years,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875,51073.90742001362,0.0838076923076923,0.08115,0.08,22163.41637841695,6338.77313190925,6503.082853638363,2432.7075718474875,37437.97993581205,0.4339479295396945,867.8958590793891,0.12410981364283406,248.21962728566814,0.1273269107875246,254.65382157504916,0.04763112310639887,95.26224621279775,0.733015777076452,1466.0315541529042
1994,55 to 64 Years,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875,36956.1533764185,0.0838076923076923,0.08115,0.08,22163.41637841695,6338.77313190925,6503.082853638363,2432.7075718474875,37437.97993581205,0.5997219502979791,1199.4439005959582,0.17152145320281043,343.04290640562084,0.17596752528329807,351.93505056659615,0.06582686101199546,131.65372202399092,1.0130377897960832,2026.0755795921664
1994,65 Years and Older,276018.6614100185,10633.42092113352,37208.32665772839,2432.7075718474875,22752.98239895697,0.0838076923076923,0.08115,0.08,22163.41637841695,6338.77313190925,6503.082853638363,2432.7075718474875,37437.97993581205,0.9740884069524421,1948.1768139048843,0.27859086869419936,557.1817373883987,0.28581232735170903,571.6246547034181,0.10691818457869534,213.8363691573907,1.6454097875770457,3290.8195751540916
1995,25 to 34 Years,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796,37727.57276507277,0.07934615384615384,0.09570000000000001,0.08,21236.782399730975,6708.558757442611,7033.674499193719,2541.359479747796,37520.3751361151,0.5628981893950901,1125.7963787901801,0.1778158059416222,355.6316118832444,0.1864332630935992,372.8665261871984,0.06736079990018658,134.72159980037316,0.994508058330498,1989.0161166609962
1995,35 to 44 Years,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796,46931.12781954887,0.07934615384615384,0.09570000000000001,0.08,21236.782399730975,6708.558757442611,7033.674499193719,2541.359479747796,37520.3751361151,0.4525095259032945,905.019051806589,0.1429447590357759,285.8895180715518,0.14987226657408148,299.744533148163,0.05415082905144266,108.30165810288533,0.7994773805645945,1598.954761129189
1995,45 to 54 Years,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796,51014.55755156354,0.07934615384615384,0.09570000000000001,0.08,21236.782399730975,6708.558757442611,7033.674499193719,2541.359479747796,37520.3751361151,0.416288671684855,832.57734336971,0.13150283133715035,263.0056626743007,0.13787583067998488,275.7516613599698,0.0498163583439705,99.63271668794101,0.7354836920459608,1470.9673840919215
1995,55 to 64 Years,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796,39557.20324057767,0.07934615384615384,0.09570000000000001,0.08,21236.782399730975,6708.558757442611,7033.674499193719,2541.359479747796,37520.3751361151,0.5368625853191346,1073.7251706382692,0.16959133123347278,339.18266246694554,0.17781020706687867,355.6204141337573,0.06424517588596547,128.49035177193093,0.9485092995054515,1897.018599010903
1995,65 Years and Older,274765.0685497101,11253.743833005354,38118.81508714827,2541.359479747796,23711.62162162162,0.07934615384615384,0.09570000000000001,0.08,21236.782399730975,6708.558757442611,7033.674499193719,2541.359479747796,37520.3751361151,0.8956275845919394,1791.2551691838787,0.2829228158450943,565.8456316901886,0.2966340561364226,593.2681122728452,0.10717780168313913,214.35560336627827,1.5823622582565955,3164.724516513191
1996,25 to 34 Years,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623,39039.04044409199,0.07806153846153846,0.090475,0.08,21438.69433398608,7060.284572795066,7032.232610011238,2631.4704343105623,38162.681951102946,0.5491603812519046,1098.3207625038092,0.18085189831717652,361.703796634353,0.18013333652711405,360.2666730542281,0.06740612485286632,134.81224970573263,0.9775517409490615,1955.103481898123
1996,35 to 44 Years,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623,47470.602582496416,0.07806153846153846,0.090475,0.08,21438.69433398608,7060.284572795066,7032.232610011238,2631.4704343105623,38162.681951102946,0.45162043807489094,903.2408761497819,0.14872961767286197,297.4592353457239,0.1481386843107864,296.2773686215728,0.05543368508409983,110.86737016819966,0.8039224251426391,1607.8448502852782
1996,45 to 54 Years,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623,51695.658396946565,0.07806153846153846,0.090475,0.08,21438.69433398608,7060.284572795066,7032.232610011238,2631.4704343105623,38162.681951102946,0.4147097647807958,829.4195295615916,0.13657403332756637,273.14806665513277,0.13603139660228414,272.06279320456827,0.05090312254280123,101.80624508560246,0.7382183172534476,1476.4366345068952
1996,55 to 64 Years,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623,39849.36787872783,0.07806153846153846,0.090475,0.08,21438.69433398608,7060.284572795066,7032.232610011238,2631.4704343105623,38162.681951102946,0.5379933352827503,1075.9866705655006,0.1771743179033951,354.3486358067902,0.17647036789673004,352.9407357934601,0.06603543730778423,132.07087461556847,0.9576734583906595,1915.3469167813191
1996,65 Years and Older,280490.0151418553,11843.77104578636,38853.51614653164,2631.4704343105623,23561.92307692308,0.07806153846153846,0.090475,0.08,21438.69433398608,7060.284572795066,7032.232610011238,2631.4704343105623,38162.681951102946,0.9098872899293808,1819.7745798587616,0.29964806139741706,599.2961227948341,0.2984574980171596,596.9149960343192,0.11168317737561353,223.36635475122708,1.6196760267195711,3239.3520534391423
1997,25 to 34 Years,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128,40107.48244192328,0.07598846153846153,0.090175,0.08,21268.43726874632,7409.807972271806,7052.922679475062,2704.385375156128,38435.55329564931,0.5302860208078028,1060.5720416156057,0.1847487680883837,369.49753617676737,0.17585054583487966,351.7010916697593,0.06742845001732908,134.85690003465817,0.9583137847483952,1916.6275694967906
1997,35 to 44 Years,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128,47374.059616749466,0.07598846153846153,0.090175,0.08,21268.43726874632,7409.807972271806,7052.922679475062,2704.385375156128,38435.55329564931,0.44894690133810483,897.8938026762097,0.1564106608598941,312.8213217197882,0.14887731253205597,297.7546250641119,0.057085784858512977,114.17156971702595,0.8113206595885678,1622.6413191771355
1997,45 to 54 Years,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128,53200.53654024052,0.07598846153846153,0.090175,0.08,21268.43726874632,7409.807972271806,7052.922679475062,2704.385375156128,38435.55329564931,0.39977862352307325,799.5572470461465,0.1392807000483365,278.561400096673,0.13257239753851505,265.1447950770301,0.0508337988867941,101.66759777358821,0.7224655199967188,1444.9310399934377
1997,55 to 64 Years,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128,41481.94086790653,0.07598846153846153,0.090175,0.08,21268.43726874632,7409.807972271806,7052.922679475062,2704.385375156128,38435.55329564931,0.5127155775201719,1025.4311550403438,0.1786273211243251,357.2546422486502,0.17002393166544721,340.0478633308944,0.06519428258595389,130.38856517190777,0.926561112895898,1853.1222257917962
1997,65 Years and Older,283365.4708752985,12430.103661117271,39011.27404271825,2704.385375156128,24391.02229299363,0.07598846153846153,0.090175,0.08,21268.43726874632,7409.807972271806,7052.922679475062,2704.385375156128,38435.55329564931,0.8719780996984172,1743.9561993968343,0.3037924316276111,607.5848632552222,0.28916060158335505,578.3212031667101,0.11087626187496732,221.75252374993465,1.5758073947843505,3151.614789568701
1998,25 to 34 Years,292360.3660600174,13045.623596303973,38792.66667228823,2791.2300477837834,41998.060941828255,0.06942641509433961,0.08725,0.08,20688.800056725493,7776.730457166729,6937.366466149489,2791.2300477837834,38194.127027825496,0.4926132205337209,985.2264410674418,0.1851687978627947,370.3375957255894,0.16518301822930523,330.36603645861044,0.06646092665206452,132.92185330412903,0.9094259632778854,1818.8519265557707
1998,35 to 44 Years,292360.3660600174,13045.623596303973,38792.66667228823,2791.2300477837834,50245.27875793931,0.06942641509433961,0.08725,0.08,20688.800056725493,7776.730457166729,6937.366466149489,2791.2300477837834,38194.127027825496,0.4117561006357524,823.5122012715049,0.1547753470456748,309.5506940913496,0.1380700164799724,276.14003295994485,0.05555208602246511,111.10417204493021,0.7601535501838648,1520.3071003677296
