year,category,series_id,cpi,component_growth_1983,relative_index
1996,All items,CUUR0000SA0,156.85,1.5747991967871484,1.0
1996,Apparel,CUUR0000SAA,131.70000000000002,1.31448057889046,0.8346972627190936
1996,College tuition,CUUR0000SEEB01,279.8,2.805715718225119,1.7816339530457246
1996,Food,CUUR0000SAF1,153.28333333333333,1.5419565764104282,0.9791448837136032
1996,Household Energy,CUUR0000SAH21,115.22500000000001,1.1469929489838242,0.7283423507732796
1996,Medical care,CUUR0000SAM,228.225,2.268826112169663,1.4407081974631717
1996,New vehicles,CUUR0000SETA01,143.66666666666666,1.438464747601168,0.9134274074662184
1996,Shelter,CUUR0000SAH1,171.03333333333333,1.7252858103564224,1.0955592394740177
1997,All items,CUUR0000SA0,160.51666666666668,1.6116131191432397,1.0
1997,Apparel,CUUR0000SAA,132.85,1.3259585793895035,0.8227524110094147
1997,College tuition,CUUR0000SEEB01,294.09999999999997,2.9491100526447727,1.8299119172053953
1997,Food,CUUR0000SAF1,157.275,1.5821108223656635,0.9816939335953904
1997,Household Energy,CUUR0000SAH21,117.89166666666667,1.1735379510576525,0.7281759729540578
1997,Medical care,CUUR0000SAM,234.58333333333334,2.3320354568801265,1.4470194050789777
1997,New vehicles,CUUR0000SETA01,144.25,1.444305381727159,0.8961861656319698
1997,Shelter,CUUR0000SAH1,176.275,1.778160726294553,1.1033421763405926
1998,All items,CUUR0000SA0,163.00833333333333,1.6366298527443104,1.0
1998,Apparel,CUUR0000SAA,133.025,1.327705231639358,0.811243439934237
1998,College tuition,CUUR0000SEEB01,306.52500000000003,3.0737026823765357,1.878068322670843
1998,Food,CUUR0000SAF1,160.68333333333334,1.6163970156760834,0.9876374996861383
1998,Household Energy,CUUR0000SAH21,113.73333333333333,1.1321443384487766,0.6917534447696835
1998,Medical care,CUUR0000SAM,242.13333333333333,2.4070913760251846,1.4707610104929711
1998,New vehicles,CUUR0000SETA01,143.44166666666666,1.436211931581143,0.8775423038831258
1998,Shelter,CUUR0000SAH1,182.10833333333335,1.837004034969738,1.122430971113865
1999,All items,CUUR0000SA0,166.57500000000002,1.6724397590361446,1.0
1999,Apparel,CUUR0000SAA,131.29166666666666,1.3104050569741328,0.7835290029993914
1999,College tuition,CUUR0000SEEB01,318.69166666666666,3.195704855017966,1.9108041636487432
1999,Food,CUUR0000SAF1,164.1,1.6507670383100006,0.9870412547841877
1999,Household Energy,CUUR0000SAH21,113.48333333333333,1.1296557445043551,0.6754537724906725
1999,Medical care,CUUR0000SAM,250.58333333333334,2.4910943583795877,1.4894972120342604
1999,New vehicles,CUUR0000SETA01,142.85833333333332,1.4303712974551521,0.8552602805134814
1999,Shelter,CUUR0000SAH1,187.25833333333333,1.8889542703429725,1.1294602751082699
2000,All items,CUUR0000SA0,172.20000000000002,1.7289156626506024,1.0
2000,Apparel,CUUR0000SAA,129.57500000000002,1.2932712301422276,0.7480244745770376
2000,College tuition,CUUR0000SEEB01,331.8666666666667,3.3278181666248847,1.9248007514276337
2000,Food,CUUR0000SAF1,167.81666666666666,1.6881549165898229,0.9764240980972495
2000,Household Energy,CUUR0000SAH21,122.76666666666667,1.2220655329738699,0.706839297817639
2000,Medical care,CUUR0000SAM,260.75,2.5921630353740372,1.499299874118781
2000,New vehicles,CUUR0000SETA01,142.75,1.4292866082603255,0.8266953901436029
2000,Shelter,CUUR0000SAH1,193.35,1.9504034969737727,1.1281079459848302
2001,All items,CUUR0000SA0,177.0666666666667,1.777777777777778,1.0
2001,Apparel,CUUR0000SAA,127.26666666666667,1.2702320552274806,0.7145055310654578
2001,College tuition,CUUR0000SEEB01,348.8333333333333,3.497952703267318,1.9675983955878662
2001,Food,CUUR0000SAF1,173.08333333333334,1.741135049040154,0.9793884650850866
2001,Household Energy,CUUR0000SAH21,135.40833333333333,1.347905433430112,0.7581968063044379
2001,Medical care,CUUR0000SAM,272.7583333333333,2.711540054676498,1.52524128075553
2001,New vehicles,CUUR0000SETA01,142.10833333333332,1.4228619107217353,0.800359824780976
2001,Shelter,CUUR0000SAH1,200.5583333333333,2.023117014122394,1.1380033204438464
2002,All items,CUUR0000SA0,179.875,1.8059738955823292,1.0
2002,Apparel,CUUR0000SAA,124.02499999999999,1.2378774016468435,0.685434825317724
2002,College tuition,CUUR0000SEEB01,372.6333333333334,3.736609008105624,2.0690271422227666
2002,Food,CUUR0000SAF1,176.21666666666667,1.7726548746751611,0.9815506630584909
2002,Household Energy,CUUR0000SAH21,127.24166666666667,1.266611364579013,0.7013453337710616
2002,Medical care,CUUR0000SAM,285.59999999999997,2.839201391765388,1.572116517691912
2002,New vehicles,CUUR0000SETA01,140.0,1.4017521902377972,0.7761752225027636
2002,Shelter,CUUR0000SAH1,208.09166666666667,2.0991089441829187,1.1623141116921123
2003,All items,CUUR0000SA0,183.95833333333334,1.846971218206158,1.0
2003,Apparel,CUUR0000SAA,120.875,1.2064376611494636,0.6531978675451139
2003,College tuition,CUUR0000SEEB01,403.84999999999997,4.0496365003760335,2.192582353453878
2003,Food,CUUR0000SAF1,179.975,1.8104618995724702,0.9802328708353415
2003,Household Energy,CUUR0000SAH21,138.16666666666666,1.3753629199502282,0.7446585557981937
2003,Medical care,CUUR0000SAM,297.075,2.9532764476845332,1.5989834701121424
2003,New vehicles,CUUR0000SETA01,137.85,1.3802252816020024,0.7472911694544567
2003,Shelter,CUUR0000SAH1,213.11666666666667,2.149798251513114,1.1639587181012339
2004,All items,CUUR0000SA0,188.88333333333333,1.8964190093708164,1.0
2004,Apparel,CUUR0000SAA,120.43333333333334,1.2020294435664975,0.6338416972340413
2004,College tuition,CUUR0000SEEB01,442.1166666666666,4.433358402272916,2.337752564368036
2004,Food,CUUR0000SAF1,186.17499999999998,1.8728309162545054,0.9875617714230058
2004,Household Energy,CUUR0000SAH21,144.43333333333334,1.4377436748237247,0.7581360805388316
2004,Medical care,CUUR0000SAM,310.1333333333333,3.0830917073978963,1.625743937475499
2004,New vehicles,CUUR0000SETA01,137.05833333333334,1.3722987067167294,0.7236263188334223
2004,Shelter,CUUR0000SAH1,218.84166666666667,2.207548755884331,1.1640617105060236
2005,All items,CUUR0000SA0,195.29166666666666,1.960759705488621,1.0
2005,Apparel,CUUR0000SAA,119.54166666666667,1.1931298344839059,0.6085038524323296
2005,College tuition,CUUR0000SEEB01,475.125,4.7643519679117565,2.429849998740402
2005,Food,CUUR0000SAF1,190.725,1.9186017268840638,0.9784991610718299
2005,Household Energy,CUUR0000SAH21,161.54999999999998,1.6081294068851097,0.8201562906375436
2005,Medical care,CUUR0000SAM,323.22499999999997,3.213238339822716,1.6387721202287648
2005,New vehicles,CUUR0000SETA01,137.90833333333333,1.3808093450146015,0.704221604079988
2005,Shelter,CUUR0000SAH1,224.42499999999998,2.2638702084734366,1.1545882966364205
2006,All items,CUUR0000SA0,201.59166666666667,2.024012717536814,1.0
2006,Apparel,CUUR0000SAA,119.45,1.1922149214006488,0.5890352916613846
2006,College tuition,CUUR0000SEEB01,506.9666666666667,5.083646695078132,2.511667368011816
2006,Food,CUUR0000SAF1,195.17499999999998,1.9633665856316536,0.9700366843648267
2006,Household Energy,CUUR0000SAH21,177.0666666666667,1.7625881377021986,0.8708384697539034
2006,Medical care,CUUR0000SAM,336.18333333333334,3.342059481401707,1.6512047836680253
2006,New vehicles,CUUR0000SETA01,137.58333333333334,1.3775552774301212,0.6806060384376342
2006,Shelter,CUUR0000SAH1,232.13333333333333,2.341627437794217,1.1569232828951461
2007,All items,CUUR0000SA0,207.34241666666665,2.0817511713520744,1.0
2007,Apparel,CUUR0000SAA,118.99825,1.1877060633785246,0.5705321941080608
2007,College tuition,CUUR0000SEEB01,538.6872500000001,5.401727249937328,2.5947996687946935
2007,Food,CUUR0000SAF1,202.91591666666667,2.041236482521586,0.9805381693124376
2007,Household Energy,CUUR0000SAH21,181.74425,1.8091505599336375,0.8690522598618807
2007,Medical care,CUUR0000SAM,351.05358333333334,3.489887333278105,1.676419055891037
2007,New vehicles,CUUR0000SETA01,136.25441666666666,1.36424947851481,0.6553374376769271
2007,Shelter,CUUR0000SAH1,240.61058333333335,2.427141055817082,1.1659131452490936
2008,All items,CUUR0000SA0,215.3025,2.161671686746988,1.0
2008,Apparel,CUUR0000SAA,118.90691666666667,1.1867944772519339,0.5490169874213844
2008,College tuition,CUUR0000SEEB01,572.2829166666667,5.738610345115735,2.6547094918708662
2008,Food,CUUR0000SAF1,214.10641666666666,2.1538075278732496,0.9963620012595101
2008,Household Energy,CUUR0000SAH21,200.80808333333334,1.9989191206968064,0.9247098590188313
2008,Medical care,CUUR0000SAM,364.06483333333335,3.6192345290365346,1.6742757705648512
2008,New vehicles,CUUR0000SETA01,134.19366666666667,1.343616186900292,0.621563484935238
2008,Shelter,CUUR0000SAH1,246.66641666666666,2.4882288164088773,1.1510669412307064
2009,All items,CUUR0000SA0,214.537,2.1539859437751003,1.0
2009,Apparel,CUUR0000SAA,120.07816666666668,1.1984845712384598,0.5564031532805558
