year,age_group,wage_annual_2024d,hourly_2024d,time_years_total,time_hours_total,total_cost_2024d,cost_2024d_education,cost_2024d_health,cost_2024d_housing,cost_2024d_transport,time_years_education,time_years_health,time_years_housing,time_years_transport,time_hours_education,time_hours_health,time_hours_housing,time_hours_transport
1994,35 to 44 Years,46141.500493583415,23.070750246791707,1.0785261846850462,2157.0523693700925,49764.81648298769,849.7298568351271,4711.975432644966,27845.785580882613,16357.325612624987,0.018415739578154663,0.10212011707985587,0.6034867805123706,0.354503547514665,36.83147915630933,204.24023415971175,1206.9735610247412,709.00709502933
1994,45 to 54 Years,51073.90742001362,25.53695371000681,1.0464832624335794,2092.9665248671586,53447.989262126444,1870.5817817249406,5344.832781894138,28192.3793755276,18040.19532297977,0.03662499848194387,0.1046489891196328,0.5519918251737334,0.35321744965826934,73.24999696388774,209.2979782392656,1103.9836503474667,706.4348993165387
1994,55 to 64 Years,36956.1533764185,18.47807668820925,1.272255721053992,2544.5114421079843,47017.67756129724,1091.417726149478,5315.5264966347895,24774.120998711427,15836.612339801548,0.029532774015542027,0.14383332709152016,0.670365250040326,0.42852436990660386,59.065548031084056,287.66665418304035,1340.730500080652,857.0487398132077
1994,65 Years and Older,22752.98239895697,11.376491199478485,1.617013726427744,3234.0274528554883,36791.88485628228,252.27273950330067,6177.289695612387,20349.09017078362,10013.232250382975,0.011087458122187322,0.27149362607934696,0.8943482579108597,0.44008438431535,22.174916244374646,542.9872521586939,1788.6965158217195,880.1687686307
1995,25 to 34 Years,37727.57276507277,18.863786382536386,1.1027223269784352,2205.4446539568703,41603.03683074928,858.4149471250213,3078.58161777994,24124.038459627183,13542.001806217135,0.022752986323035337,0.08160030959187528,0.6394272594700449,0.3589417715934797,45.505972646070674,163.20061918375058,1278.8545189400897,717.8835431869594
1995,35 to 44 Years,46931.12781954887,23.465563909774435,1.0636097582904442,2127.2195165808885,49916.40551644832,874.7599425921409,4788.099880829507,27771.90765657384,16481.638036452834,0.018639226953070687,0.10202396795661607,0.5917587952149239,0.35118776816583364,37.27845390614137,204.04793591323215,1183.5175904298478,702.3755363316673
1995,45 to 54 Years,51014.55755156354,25.50727877578177,1.0516947648954862,2103.389529790972,53651.74311043887,1925.6826141076817,5431.181374321317,28117.58189985432,18177.297222155543,0.037747707841262294,0.10646336330236107,0.5511678087462418,0.3563158850056209,75.4954156825246,212.92672660472215,1102.3356174924836,712.6317700112418
1995,55 to 64 Years,39557.20324057767,19.778601620288836,1.1929642351906498,2385.928470381299,47190.32871017683,1123.5670958138503,5401.401630567629,24708.39253755371,15956.96744624164,0.02840360297922423,0.13654660057025683,0.6246243544388879,0.40338967720228075,56.807205958448456,273.09320114051366,1249.2487088777757,806.7793544045614
1995,65 Years and Older,23711.62162162162,11.85581081081081,1.5570939896873417,3114.1879793746834,36921.22351276744,259.70381686645567,6277.0870685139225,20295.10180191456,10089.330825472507,0.010952596199900676,0.26472618232023887,0.8559137002847717,0.42550151088243054,21.90519239980135,529.4523646404778,1711.8274005695432,851.003021764861
1996,25 to 34 Years,39039.04044409199,19.519520222045994,1.0662116621756836,2132.4233243513672,41623.880201639055,877.6475050419045,3096.798435134825,24122.578688585083,13526.855572877243,0.022481277589258067,0.07932568013729144,0.6179091087838379,0.3464955956652962,44.96255517851613,158.65136027458288,1235.8182175676757,692.9911913305924
